menu,slider.response,participant
gotowane,4.022222222222222,1
grillowane,2.05,1
smażone,4.983333333333333,1
pieczone,4,1
smażone,2.0055555555555555,2
grillowane,3.9833333333333334,2
pieczone,1,2
gotowane,4.933333333333334,2
pieczone,1.9833333333333334,3
smażone,3.95,3
grillowane,2.9944444444444445,3
gotowane,1.0166666666666666,3
pieczone,5,4
gotowane,4.9944444444444445,4
smażone,5,4
grillowane,4.95,4
pieczone,5,5
gotowane,2.9833333333333334,5
smażone,3.9722222222222223,5
grillowane,1.011111111111111,5
gotowane,4.016666666666667,6
smażone,1,6
grillowane,4.988888888888889,6
pieczone,2.9722222222222223,6
