pobudzenie,trudnosc,pamiec
niskie,latwe,15
niskie,latwe,11
niskie,latwe,13
niskie,latwe,12
niskie,latwe,16
niskie,latwe,15
niskie,latwe,17
niskie,latwe,16
niskie,trudne,8
niskie,trudne,3
niskie,trudne,2
niskie,trudne,4
niskie,trudne,3
niskie,trudne,5
niskie,trudne,4
niskie,trudne,3
wysokie,latwe,14
wysokie,latwe,17
wysokie,latwe,16
wysokie,latwe,17
wysokie,latwe,15
wysokie,latwe,11
wysokie,latwe,17
wysokie,latwe,19
wysokie,trudne,12
wysokie,trudne,9
wysokie,trudne,8
wysokie,trudne,9
wysokie,trudne,9
wysokie,trudne,7
wysokie,trudne,9
wysokie,trudne,8
